seller_id,total_orders,total_revenue
4869f7a5dfa277a7dca6462dcf3b52b2,1132,229472.6299999981
53243585a1d6dc2643021fd1853d8905,358,222776.04999999952
4a3ca9315b744ce9f8e9374361493884,1806,200472.9199999949
fa1c13f2614d7b5c4749cbc52fecda94,585,194042.02999999846
7c67e1448b00f6e969d365cea6b010ab,982,187923.8899999995
7e93a43ef30c4f03f38b393420bc753a,336,176431.86999999982
da8622b14eb17ae2831f4ac5b9dab84a,1314,160236.56999999538
7a67c85e85bb2ce8582c35f2203ad736,1160,141745.53000000177
1025f0e2d44d7041d6cf58b6550e0bfa,915,138968.5499999995
955fee9216a65b617aa5c0531780ce60,1287,135171.69999999914
